Ticker,Sector,Price,Volume,Fifty Day Average
BLUE,Healthcare,1.46,5895597,1.259
BLZE,Technology,10.2,238648,9.3404
BMBL,Technology,10.79,1920162,12.8162
BMEA,Healthcare,17.0,1018813,16.7112
BMR,Technology,6.39,1043918,5.36816
BMRA,Healthcare,1.0,20747,1.0256
BMRC,Financial Services,16.68,61781,18.1956
BMRN,Healthcare,84.11,886926,89.0692
BNAI,Technology,11.125,85557,12.3825
BNAIW,Technology,0.2,41501,-1
BND,-1,-1,5492580,72.5288
BNDW,-1,-1,241223,68.3178
BNDX,-1,-1,2334413,48.8072
BNGO,Healthcare,1.06,1215383,1.2092
BNIX,Financial Services,11.16,1,10.8858
BNIXR,-1,0.1488,2449,-1
BNIXW,Financial Services,0.015,100,-1
BNOX,Healthcare,1.0,2062698,1.08764
BNR,Healthcare,0.6991,33756,0.83768
BNRG,Utilities,2.55,13785,4.11574
BNTC,Healthcare,5.09,23847,3.71244
BNTX,Healthcare,91.99,1202769,94.8372
BNZI,Technology,0.669,1065934,1.231
BNZIW,Technology,0.0185,59920,-1
BOCN,Financial Services,10.95,3717,10.90948
BOCNU,Financial Services,10.85,-1,10.8478
BOCNW,Financial Services,0.0192,399,-1
BOF,Consumer Defensive,2.21,20618,1.81896
BOKF,Financial Services,88.69,162390,84.2256
BOLT,Healthcare,1.16,25968,1.1467
BON,Consumer Defensive,0.44,110281,0.50508
BOOM,Energy,18.8,190463,17.3544
BOSC,Technology,2.72,14062,2.7414
BOTJ,Financial Services,10.69,2709,11.698
BOTZ,-1,-1,1316282,30.1652
BOWN,Financial Services,10.4,16722,10.37984
BOWNR,-1,0.1101,603,-1
BOWNU,Financial Services,10.43,2,10.433
BOXL,Technology,0.7548,31803,0.85864
BPMC,Healthcare,90.05,747809,85.0742
BPOP,Financial Services,86.71,515013,83.7602
BPOPM,-1,-1,1340,25.4884
BPRN,Financial Services,31.39,14709,31.9957
BPTH,Healthcare,4.28,9287,7.6708
BPTS,Healthcare,0.3945,89616,0.50438
BPYPM,-1,-1,78683,13.2306
BPYPN,Real Estate,12.9201,76808,11.87152
BPYPO,Real Estate,14.29,31575,13.0479
BPYPP,Real Estate,14.47,37107,13.54514
BRAC,Financial Services,11.26,1220,11.2235
BRACR,-1,0.191,-1,-1
BRACU,Financial Services,11.07,-1,11.23
BRAG,Communication Services,5.15,63436,5.23002
BREA,Communication Services,1.62,196708,1.29698
BREZ,Financial Services,11.74,8606,11.51402
BREZR,-1,0.1432,9209,-1
BREZW,Financial Services,0.6,143494,-1
BRFH,Consumer Defensive,1.19,19346,1.2532
BRID,Consumer Defensive,11.2275,2313,10.8062
BRKH,Financial Services,10.975,2093,10.83258
BRKHU,Financial Services,10.63,-1,10.63
BRKHW,Financial Services,0.1608,49928,-1
BRKL,Financial Services,9.74,401035,10.1052
BRKR,Healthcare,94.27,409249,79.8406
BRLS,Consumer Defensive,6.02,4040,9.38248
BRLSW,Consumer Defensive,0.136,1507,-1
BRLT,Consumer Cyclical,3.12,37047,3.0149
BRNS,Healthcare,2.41,7428,2.7962
BRNY,-1,-1,16175,33.97926
BROG,Energy,2.255,957,2.5297
BROGW,Energy,0.0145,244,-1
BRP,Financial Services,29.86,326488,26.2186
BRRR,-1,-1,1597770,15.028708
BRSH,Consumer Defensive,0.0559,1998028,0.08862
BRSHW,Consumer Defensive,0.012,1000,-1
BRTR,-1,-1,4228,50.55944
BRTX,Healthcare,1.33,23403,1.539924
BRY,Energy,7.84,969331,6.8882
BRZE,Technology,53.57,1056300,54.9763
BSBK,Financial Services,7.13,334,7.84782
BSCO,-1,-1,1205308,20.9364
BSCP,-1,-1,823914,20.4454
BSCQ,-1,-1,868081,19.23828
BSCR,-1,-1,455771,19.3202
BSCS,-1,-1,1073648,20.0948
BSCT,-1,-1,172839,18.3052
BSCU,-1,-1,230593,16.39672
BSCV,-1,-1,127696,16.1115
BSCW,-1,-1,98850,20.26268
BSCX,-1,-1,72556,20.86094
BSET,Consumer Cyclical,15.21,10487,15.4636
BSFC,Consumer Defensive,0.0921,870439,0.1235
BSGM,Healthcare,0.53,67662,1.28842
BSJO,-1,-1,234029,22.7088
BSJP,-1,-1,423833,22.8716
BSJQ,-1,-1,143290,23.1222
BSJR,-1,-1,219276,22.30664
BSJS,-1,-1,122795,21.57698
BSJT,-1,-1,22248,21.12096
BSJU,-1,-1,19901,25.4905
BSJV,-1,-1,4093,26.14726
BSMO,-1,-1,41099,24.7967
BSMP,-1,-1,41066,24.45042
BSMQ,-1,-1,39346,23.66394
BSMR,-1,-1,37085,23.75082
BSMS,-1,-1,35878,23.58492
BSMT,-1,-1,19257,23.34574
BSMU,-1,-1,23941,22.24664
BSMV,-1,-1,21279,21.45524
BSMW,-1,-1,11654,25.74614
BSRR,Financial Services,19.1,18481,19.5266
BSSX,-1,-1,10556,26.42908
BSVN,Financial Services,27.84,9580,26.8914
BSVO,-1,-1,91539,20.29312
BSY,Technology,51.67,1112599,50.423
BTAI,Healthcare,2.83,346646,3.012
BTBD,Consumer Cyclical,1.67,120,1.99344
BTBDW,-1,-1,13018,-1
BTBT,Financial Services,2.56,8182701,2.6884
BTCS,Financial Services,1.31,70814,1.6182
BTCT,Consumer Defensive,3.29,62700,3.9046
BTCTW,Consumer Defensive,0.0351,200,-1
BTCY,Healthcare,1.42,84238,1.03924
BTDR,Technology,7.95,2211340,7.2356
BTEC,-1,-1,1112,37.1915
BTF,-1,-1,52975,16.7102
BTFX,-1,-1,225278,38.8554
BTM,Financial Services,2.69,279197,2.3614
BTMD,Healthcare,6.26,79941,4.922
BTMWW,-1,-1,98578,-1
BTOG,Financial Services,5.89,189808,4.71434
BTSG,Healthcare,9.35,654078,10.009737
BTSGU,Healthcare,39.65,2000,41.72763
BUFC,-1,-1,17968,35.88454
BUG,-1,-1,205034,30.21
BUJA,Financial Services,10.5,22873,10.4546
BUJAR,-1,0.25,100,-1
BUJAU,Financial Services,10.51,-1,10.5106
BUJAW,Financial Services,0.0434,1800,-1
BULD,-1,-1,1105,22.91548
BUSE,Financial Services,23.51,127452,23.3908
BVFL,Financial Services,10.59,22778,12.9188
BVS,Healthcare,5.43,219487,4.8236
BWAQ,Financial Services,11.17,40,11.1089
BWAQR,-1,0.2,5400,-1
BWAQU,Financial Services,11.76,-1,10.72
BWAQW,Financial Services,0.16,62700,-1
BWAY,Healthcare,5.94,51916,6.2224
BWB,Financial Services,11.59,35312,12.2146
BWBBP,Financial Services,17.2,19403,18.83804
BWEN,Industrials,2.37,106577,2.4496
BWFG,Financial Services,26.3,15511,26.5346
BWMN,Industrials,42.0,91050,34.1014
BWMX,Consumer Cyclical,19.0,51480,15.0875
BYFC,Financial Services,6.07,23719,6.057
BYND,Consumer Defensive,8.1,1374369,7.5742
BYNO,Financial Services,11.08,7,11.0332
BYNOU,Financial Services,10.94,-1,10.94
BYNOW,Financial Services,0.0721,-1,-1
BYRN,Industrials,13.8,144336,9.5526
BYSI,Healthcare,2.98,213312,1.55554
BYU,Basic Materials,1.35,15162,1.409
BZ,Industrials,18.78,1334795,15.5022
BZFD,Communication Services,0.3875,1364782,0.26884
BZFDW,Communication Services,0.0657,2426,-1
BZUN,Consumer Cyclical,2.4,2418024,2.397
CA,-1,-1,9,25.2806
CAAS,Consumer Cyclical,3.4,23266,3.333
CABA,Healthcare,17.54,1540385,21.8752
CAC,Financial Services,32.79,53917,33.6642
CACC,Financial Services,566.46,59401,549.695
CACG,-1,-1,1976,50.29984
CACO,Industrials,0.619,9031,0.54796
CADL,Healthcare,1.45,33321,1.48506
CAFG,-1,-1,942,23.63938
CAKE,Consumer Cyclical,35.22,1017977,34.8194
CALB,Financial Services,22.02,11810,23.5315
CALC,Healthcare,3.83,34321,4.71518
CALM,Consumer Defensive,61.84,484856,56.677
CALT,Healthcare,21.795,2081,22.1261
CALY,-1,-1,1500,50.25812
CAMP,Technology,3.01,22113,3.4062
CAMT,Technology,83.27,403653,78.7874
CAN,Technology,1.55,19874120,1.6785
CANC,-1,-1,388,27.1868
CANQ,-1,-1,569,25.031307
CAPR,Healthcare,6.88,415170,4.5762
CAPT,-1,-1,108584,5.8853
CAPTW,-1,-1,1100,-1
CAR,Industrials,115.25,340664,137.213
CARA,Healthcare,0.8916,207499,0.7088
CARE,Financial Services,12.67,80134,13.6686
CARG,Consumer Cyclical,23.01,1000686,23.159
CARM,Healthcare,2.51,112826,2.368
CART,Consumer Cyclical,37.82,2752081,28.8868
CARV,Financial Services,1.61,21656,1.7758
CARZ,-1,-1,2078,56.2462
CASA,Technology,0.3,51781,0.35076
CASH,Financial Services,50.15,208934,50.8754
CASI,Healthcare,3.05,22498,5.528
CASS,Industrials,46.99,46379,45.1782
CASY,Consumer Cyclical,318.11,291850,290.224
CATC,Financial Services,66.99,12877,66.1116
CATH,-1,-1,15487,60.4144
CATY,Financial Services,38.85,307096,40.4634
CAUD,Technology,0.722,302253,0.95918
CBAN,Financial Services,11.27,40791,11.736
CBAT,Industrials,1.05,202457,1.0534
CBAY,Healthcare,32.48,8354629,28.4294
CBFV,Financial Services,21.94,986,23.0426
CBNK,Financial Services,20.94,21260,21.2708
CBRG,Financial Services,11.19,73,11.00078
CBRGU,-1,10.7,-1,11.2642
CBRL,Consumer Cyclical,65.96,686478,72.6494
CBSH,Financial Services,51.84,393873,52.2186
CBUS,Healthcare,18.68,71698,18.0735
CCAP,Financial Services,17.6,73791,16.6862
CCB,Financial Services,38.81,45919,39.3978
CCBG,Financial Services,28.13,28249,28.145
CCCC,Healthcare,8.71,1504197,7.8324
CCCS,Technology,12.06,2801940,11.3914
CCD,Financial Services,22.44,115503,21.01812
CCEP,Consumer Defensive,71.38,934137,68.6862
CCG,Communication Services,4.23,17894,5.00292
CCGWW,Communication Services,0.0882,1179,0.08664
CCLD,Healthcare,1.11,141588,1.3391
CCLDO,Healthcare,5.9499,560,5.93638
CCLDP,Healthcare,5.99,16183,6.89844
CCLP,Energy,2.37,491355,1.9738
CCNE,Financial Services,20.41,59621,20.6918
CCNEP,Financial Services,23.18,477,22.5697
CCOI,Communication Services,62.7,383678,73.92
CCRN,Healthcare,18.79,403883,19.9012
CCSI,Technology,14.76,364156,17.804
CCSO,-1,-1,7144,18.37044
CCTG,Industrials,3.17,183363,5.802727
CCTS,Financial Services,11.0,1,11.075
CCTSU,Financial Services,11.0,-1,10.968
CCTSW,Financial Services,0.03,1043,-1
CDAQ,Financial Services,10.69,21,10.6656
CDAQU,Financial Services,10.66,-1,10.6568
CDAQW,Financial Services,0.088,-1,-1
CDC,-1,-1,49711,56.2862
CDIO,Healthcare,1.47,894338,1.8755
CDIOW,Healthcare,0.106,18753,-1
CDL,-1,-1,19682,58.7226
CDLX,Communication Services,15.24,1960300,7.6509
CDMO,Healthcare,6.87,1671709,6.9554
CDNA,Healthcare,9.92,481774,9.8598
CDNS,Technology,322.8,1853903,297.036
CDRO,Consumer Cyclical,7.03,55560,5.22738
CDROW,Consumer Cyclical,0.4504,12341,-1
CDT,Healthcare,3.45,44297,3.0688
CDTTW,Healthcare,0.0425,3,-1
CDTX,Healthcare,0.8031,737203,0.70108
CDW,Technology,254.81,688946,237.4152
CDXC,Healthcare,3.2,518921,1.6804
CDXS,Healthcare,3.49,337206,3.1356
CDZI,Utilities,2.61,124622,2.7504
CDZIP,Utilities,14.0,7501,13.86862
CEAD,Industrials,0.5789,24016,0.54968
CEADW,Industrials,0.0078,6525,-1
CECO,Industrials,23.0,226955,20.451
CEFA,-1,-1,204,29.99818
CEG,Utilities,174.13,2123748,139.7506
CELC,Healthcare,17.62,322178,15.8558
CELH,Consumer Defensive,90.95,2281291,67.2666
CELU,Healthcare,5.36,23921,4.1331
CELUW,Healthcare,0.0411,6660,-1
CELZ,Healthcare,5.29,58382,4.586998
CENN,Consumer Cyclical,1.41,78231,1.3134
CENT,Consumer Defensive,43.215,59994,40.28645
CENTA,Consumer Defensive,37.37,191983,35.31264
CENX,Basic Materials,12.66,1243270,10.918
CERE,Healthcare,42.27,701898,41.9421
CERO,Healthcare,2.17,156644,6.5576
CEROW,Healthcare,0.0798,102797,-1
CERS,Healthcare,1.95,1603358,2.0626
CERT,Healthcare,17.62,401551,17.2762
CETU,Financial Services,10.51,103730,10.5468
CETUR,-1,-1,1290,-1
CETUU,Financial Services,10.6,3,10.734
CETUW,-1,-1,62400,-1
CETX,Technology,4.4,69679,3.68708
CETY,Industrials,0.8842,324293,0.84288
CEVA,Technology,23.19,121812,21.8042
CFA,-1,-1,12144,76.78634
CFB,Financial Services,13.49,163887,13.3549
CFBK,Financial Services,20.2,4294,21.4106
CFFI,Financial Services,48.835,6026,54.6202
CFFN,Financial Services,5.81,887634,5.9478
CFFS,Financial Services,10.92,13015,10.8755
CFFSU,Financial Services,10.78,-1,10.78
CFFSW,Financial Services,0.12,100,-1
CFLT,Technology,31.8,3700020,28.513
CFO,-1,-1,6075,62.23566
CFSB,Financial Services,7.6,95,7.42436
CG,Financial Services,47.39,2155873,43.1804
CGABL,-1,-1,24972,19.69914
CGBD,Financial Services,16.55,438844,15.612
CGBDL,-1,-1,4403,25.6919
CGC,Healthcare,4.56,10194192,3.9064
CGEM,Healthcare,16.34,462433,15.7734
CGEN,Healthcare,2.67,231484,2.3432
CGNT,Technology,7.775,192935,7.0846
CGNX,Technology,41.93,1106778,38.5904
CGO,Financial Services,10.49,44690,9.6596
CGON,-1,41.12,613387,40.76077
CGTX,Healthcare,1.89,138148,2.1046
CHCI,Real Estate,4.65,871,4.7252
CHCO,Financial Services,103.78,47435,102.6596
CHDN,Consumer Cyclical,118.6,347067,120.0616
CHEF,Consumer Defensive,37.23,255806,34.3712
CHEK,Healthcare,2.01,8879,2.11518
CHI,Financial Services,11.54,489088,10.8876
CHK,Energy,86.25,1549184,79.7238
CHKEL,Energy,70.28,464,61.6894
CHKEW,Energy,76.515,21,70.1673
CHKEZ,Energy,72.86,353,66.5919
CHKP,Technology,165.65,520100,160.597
CHMG,Financial Services,42.39,10454,44.7976
CHNR,Industrials,1.23,38729,1.2362
CHPS,-1,-1,4969,32.1065
CHR,Communication Services,2.68,19336,2.6404
CHRD,Energy,171.12,456298,158.8484
CHRS,Healthcare,2.51,3269299,2.417
CHRW,Industrials,74.35,1351606,77.674
CHSCL,Consumer Defensive,26.36,32336,25.91868
CHSCM,Consumer Defensive,25.69,22564,25.26118
CHSCN,Consumer Defensive,26.59,33511,25.86658
CHSCO,Consumer Defensive,27.35,16882,26.7354
CHSCP,Consumer Defensive,32.03,10385,31.1956
CHSN,Consumer Cyclical,1.7,24531,1.5179
CHTR,Communication Services,294.61,1191345,319.1016
CHUY,Consumer Cyclical,34.19,97532,34.03
CHW,Financial Services,6.51,175329,6.0882
CHX,Energy,34.36,857480,29.4864
CHY,Financial Services,12.11,217826,11.8164
CIBR,-1,-1,865106,56.6154
CID,-1,-1,14,31.50324
CIFR,Financial Services,4.83,12319108,3.2129
CIFRW,Financial Services,1.49,238358,-1
CIGI,Real Estate,124.53,171610,118.3498
CIL,-1,-1,345,41.70988
CINF,Financial Services,118.84,468786,112.4962
CING,Healthcare,1.08,95747,2.4365
CINGW,Healthcare,0.0211,90,-1
CISO,Technology,1.19,127673,1.5358
CISS,Industrials,0.0301,25360842,0.15632
CITE,Financial Services,11.09,20554,11.0022
CITEU,Financial Services,10.75,1,10.8
CITEW,Financial Services,0.0869,3012,-1
CIVB,Financial Services,15.44,73831,15.9314
CIZ,-1,-1,4764,30.26218
CJET,Consumer Cyclical,0.57,368198,0.46802
CJJD,Healthcare,3.2,75768,3.5902
CKPT,Healthcare,1.9,410336,1.9645
CLAR,Consumer Cyclical,7.08,305235,6.0724
CLBK,Financial Services,16.66,63290,17.4032
CLBT,Technology,11.68,861786,10.2358
CLBTW,Technology,2.44,23305,-1
CLDX,Healthcare,41.01,819847,41.109
CLEU,Consumer Defensive,1.29,103968,2.13586
CLFD,Technology,29.64,242134,28.5686
CLGN,Healthcare,5.02,4803,5.36412
CLIR,Industrials,0.971,29285,1.0722
CLLS,Healthcare,2.53,15280,2.7636
CLMB,Technology,71.23,13594,59.8212
CLMT,Energy,14.48,126994,15.9572
CLNE,Energy,2.56,1632026,2.9678
CLNN,Healthcare,0.425,332482,0.4464
CLNNW,Healthcare,0.06,10000,-1
CLOA,-1,-1,26457,51.58806
CLOD,-1,-1,314,26.754833
CLOE,Financial Services,12.1401,5,11.9706
CLOER,-1,0.1231,-1,-1
CLOEU,Financial Services,11.85,1,11.9276
CLOU,-1,-1,237838,22.1976
CLOV,Healthcare,0.864,8748820,0.9179
CLPS,Technology,1.02,14775,1.01952
CLPT,Healthcare,6.82,107075,7.0936
CLRB,Healthcare,3.87,965936,3.653
CLRC,Financial Services,11.23,22371,11.19
CLRCR,-1,0.0995,588,-1
CLRCU,Financial Services,11.35,-1,11.356
CLRCW,Financial Services,0.029,1,-1
CLRO,Technology,1.82,337364,1.1066
CLSD,Healthcare,1.8,570396,1.4107
CLSK,Financial Services,20.77,41497287,13.2748
CLSM,-1,-1,31058,20.02938
CLST,Financial Services,11.82,11772,11.90018
CLVR,Healthcare,3.5101,4987,3.43498
CLVRW,Healthcare,0.0351,1300,0.03844
CLWT,Industrials,1.43,3741,1.4666
CMAX,Healthcare,6.27,168602,8.3934
CMAXW,Healthcare,0.0372,1000,-1
CMBM,Technology,4.55,78066,4.3981
CMCA,Financial Services,11.01,20,11.00012
CMCAU,Financial Services,10.88,-1,10.7642
CMCAW,Financial Services,0.021,8,-1
CMCO,Industrials,42.8,94589,40.3816
CMCSA,Communication Services,42.89,18454163,43.1626
CMCT,Real Estate,3.71,1281,3.5596
CME,Financial Services,216.09,1529884,210.2312
CMLS,Communication Services,3.5,84225,4.2168
CMMB,Healthcare,0.7889,31921,0.64038
CMND,Healthcare,1.24,112637,1.4828
CMPO,Industrials,6.84,845954,5.2559
CMPOW,Industrials,0.57,130819,-1
CMPR,Communication Services,92.46,115664,85.3274
CMPS,Healthcare,9.5,333890,10.2688
CMPX,Healthcare,2.24,316320,1.7013
CMRX,Healthcare,0.956,311043,1.0542
CMTL,Technology,3.28,1047254,6.4256
CNCR,-1,-1,154708,15.48004
CNDT,Technology,3.39,1025380,3.4838
CNET,Communication Services,0.9283,6770,0.908
CNEY,Basic Materials,1.08,29228,1.39902
CNFR,Financial Services,1.1196,5396,1.23278
CNFRZ,-1,13.39,162,-1
CNGL,Financial Services,11.065,1,11.0709
CNGLU,Financial Services,10.78,-1,10.6666
CNGLW,Financial Services,0.014,41400,-1
CNOB,Financial Services,19.51,143862,21.026
CNOBP,Financial Services,19.57,5687,19.2938
CNSL,Communication Services,4.31,403148,4.3516
CNSP,Healthcare,0.3514,67248,0.42818
CNTA,Healthcare,12.08,258281,9.4342
CNTB,Healthcare,1.24,22933,1.1923
CNTG,Healthcare,0.6708,5129,0.95216
CNTX,Healthcare,1.07,104533,1.10112
CNTY,Consumer Cyclical,2.75,134646,3.2842
CNVS,Communication Services,1.42,128949,1.4614
CNXA,Consumer Cyclical,0.26,4838691,0.25094
CNXC,Technology,62.94,519115,81.7584
CNXN,Technology,65.39,75092,65.7278
COCH,Healthcare,3.87,112923,2.92696
COCHW,Healthcare,0.0902,8687,-1
COCO,Consumer Defensive,24.78,308900,22.9068
COCP,Healthcare,1.51,13369,1.5426
CODA,Industrials,5.65,17812,5.815468
CODX,Healthcare,1.17,53068,1.1991
COEP,Healthcare,0.316,264261,0.508
COEPW,-1,-1,200,-1
COFS,Financial Services,25.9,12746,26.806
COGT,Healthcare,6.67,940888,6.2099
COHU,Technology,31.29,329125,32.5432
COIN,Financial Services,262.0,16097407,172.2812
COKE,Consumer Defensive,884.21,45631,856.7756
COLB,Financial Services,18.68,2481177,20.2542
COLL,Healthcare,39.66,564846,34.6706
COLM,Consumer Cyclical,78.75,303951,79.7316
COMM,Technology,1.39,2145731,1.9713
COMT,-1,-1,127944,25.7298
CONL,-1,-1,2475754,37.7652
CONN,Consumer Cyclical,3.34,86658,4.3632
CONX,Financial Services,10.58,1113,10.63824
CONXU,Financial Services,10.19,281,10.6192
CONXW,Financial Services,0.1718,250,-1
COO,Healthcare,101.37,834291,96.6891
COOL,Financial Services,10.92,3542,10.80918
COOLU,Financial Services,10.94,100,10.846
COOLW,Financial Services,0.1194,17676,0.1118
COOP,Financial Services,77.03,395300,69.5124
COPJ,-1,-1,5478,17.97176
COPP,-1,-1,206877,21.679363
CORT,Healthcare,24.75,714545,23.3076
CORZ,Technology,3.47,3324339,3.47775
CORZW,Technology,1.41,54183,-1
CORZZ,Technology,2.42,133514,-1
COSM,Healthcare,0.621,1096430,0.90282
COST,Consumer Defensive,742.56,2082800,717.6282
COWG,-1,-1,98074,24.91086
COWS,-1,-1,23131,27.29582
COYA,Healthcare,9.91,50008,7.7348
CPBI,Financial Services,10.21,1078,10.31418
CPHC,Consumer Cyclical,21.85,1409,23.2316
CPIX,Healthcare,1.81,16322,2.0146
CPLP,Industrials,17.93,25789,17.815
CPLS,-1,-1,100,35.327374
CPOP,Communication Services,3.21,92510,2.22708
CPRT,Industrials,57.21,5823350,51.1498
CPRX,Healthcare,16.62,1579379,14.8496
CPSH,Technology,1.83,20444,2.2656
CPSS,Financial Services,7.67,27113,8.626
CPTN,Technology,2.56,142421,2.68062
CPTNW,Technology,0.0093,1773,-1
CPZ,-1,15.162,71924,15.01698
CRAI,Industrials,141.44,17578,117.423
CRBP,Healthcare,38.15,293917,25.0478
CRBU,Healthcare,5.25,1676430,6.3708
CRCT,Technology,5.02,390971,5.2838
CRDF,Healthcare,5.14,768240,2.4136
CRDL,Healthcare,1.53,204030,1.35526
CRDO,Technology,21.62,1919407,21.1264
CREG,Utilities,1.2,14613,1.482
CRESW,Industrials,0.53,2150,-1
CRESY,Industrials,8.74,252312,8.4876
CREV,Consumer Cyclical,18.0,4728,17.3052
CREVW,Consumer Cyclical,0.09,12329,-1
CREX,Technology,3.9,244208,3.3812
CRGO,Industrials,2.36,21766,2.89194
CRGOW,Industrials,0.1,6340,-1
CRGX,Healthcare,25.15,281142,24.0181
CRIS,Healthcare,10.83,15070,10.4904
CRKN,Basic Materials,0.0598,1673592,0.10472
CRMD,Healthcare,3.9,284833,3.3862
CRML,-1,-1,32568,10.7016
CRMLW,-1,-1,7707,-1
CRMT,Consumer Cyclical,65.71,112009,63.3338
CRNC,Technology,15.04,335895,16.928
CRNT,Technology,3.17,793608,2.739
CRNX,Healthcare,44.97,681296,38.8795
CRON,Healthcare,2.39,3175522,2.0926
CROX,Consumer Cyclical,141.0,1299852,112.7406
CRSP,Healthcare,74.5,1481091,72.5286
CRSR,Technology,12.22,255335,13.0266
CRTO,Communication Services,35.19,409409,29.8852
CRUS,Technology,90.24,320568,86.4988
CRVL,Financial Services,259.16,25319,239.6354
CRVO,Healthcare,22.48,34190,12.8056
CRVS,Healthcare,1.84,273290,2.1323
CRWD,Technology,329.46,3219131,309.534
CRWS,Consumer Cyclical,5.58,14512,5.331
CSA,-1,-1,2205,65.4863
CSB,-1,-1,140692,53.66606
CSBR,Healthcare,5.32,2330,5.9272
CSCO,Technology,49.88,21820000,49.8646
CSF,-1,-1,15701,48.62272
CSGP,Real Estate,97.73,1797362,85.2004
CSGS,Technology,51.39,245289,52.118
CSIQ,Technology,18.82,1596062,21.5708
CSLM,Financial Services,11.02,2,10.95964
CSLMR,-1,0.172,9000,-1
CSLMU,Financial Services,10.89,-1,10.72
CSLMW,-1,-1,100,-1
CSLR,Technology,0.62,60038,1.12186
CSLRW,-1,-1,1500,-1
CSML,-1,-1,526,35.58322
CSPI,Technology,21.21,213612,16.3171
CSQ,Financial Services,16.36,370601,15.6508
CSSE,Communication Services,0.156,225375,0.1859
CSSEL,Communication Services,0.0064,5091,-1
CSSEN,-1,-1,1738,5.0711
CSSEP,Communication Services,0.4795,21853,1.8584
CSTE,Industrials,3.81,43116,4.0972
CSTL,Healthcare,21.1,246135,21.8789
CSTR,Financial Services,19.76,86725,18.4782
CSWC,Financial Services,24.23,244372,24.3672
CSWCZ,-1,-1,14115,25.67208
CSWI,Industrials,240.1,70328,223.4781
CSX,Industrials,37.87,10512289,36.6136
CTAS,Industrials,642.16,300742,614.574
CTBI,Financial Services,40.96,42052,40.456
CTCX,Healthcare,2.9,21692,3.18332
CTCXW,-1,-1,700,-1
CTEC,-1,-1,9370,9.27308
CTHR,Consumer Cyclical,0.3744,132129,0.3848
CTKB,Healthcare,6.61,630461,8.0233
CTLP,Technology,6.29,368018,6.5754
CTMX,Healthcare,2.24,449875,1.8329
CTNT,Consumer Cyclical,1.81,8643,1.60258
CTRM,Industrials,0.409,226216,0.45796
CTRN,Consumer Cyclical,28.0,98638,29.0782
CTSH,Technology,72.58,7489757,77.125
CTSO,Healthcare,0.86,105322,0.98168
CTXR,Healthcare,0.7503,539439,0.71582
CUBA,Financial Services,2.87,41842,2.668
CUE,Healthcare,1.94,215554,2.3697
CULL,Financial Services,10.25,6226,10.6966
CURI,Communication Services,0.96,33186838,0.51322
CURIW,Communication Services,0.023,221937,-1
CUTR,Healthcare,2.3,1579440,2.6656
CVAC,Healthcare,3.04,474100,3.4942
CVBF,Financial Services,17.32,682687,17.6178
CVCO,Consumer Cyclical,393.43,44870,352.4822
CVCY,Financial Services,19.28,33490,18.974
CVGI,Consumer Cyclical,6.33,132798,6.4414
CVGW,Consumer Defensive,28.56,150875,28.03
CVII,Financial Services,10.69,3466,10.6078
CVIIU,Financial Services,10.55,335,10.41094
CVIIW,Financial Services,0.2942,182997,-1
CVKD,Healthcare,0.63,68967,0.89236
CVLG,Industrials,45.54,50891,48.583
CVLT,Technology,100.24,217335,90.792
CVLY,Financial Services,22.79,20555,23.328
CVRX,Healthcare,21.37,78376,23.673
CVV,Industrials,4.69,11587,4.7796
CWBC,Financial Services,15.16,16067,15.0386
CWCO,Utilities,29.56,152217,30.5478
CWD,Financial Services,1.11,6351,1.20268
CWST,Industrials,98.69,215669,89.4136
CXAI,Technology,2.48,1795260,1.6865
CXAIW,-1,-1,111298,-1
CXDO,Communication Services,4.84,95451,5.7517
CXSE,-1,-1,22256,25.6358
CYBR,Technology,270.12,539689,248.806
CYCC,Healthcare,2.18,20079,2.4798
CYCCP,Healthcare,17.38,1459,19.166
CYCN,Healthcare,3.2,1448,3.1858
CYN,Technology,0.1625,3979363,0.18006
CYRX,Industrials,16.52,592980,15.67
CYTH,Healthcare,1.46,42880,1.684
CYTHW,Healthcare,0.29,2,0.30348
CYTK,Healthcare,66.03,1457982,76.8458
CYTO,Healthcare,1.68,24580,2.0173
CZAR,-1,-1,1430,27.648666
CZFS,Financial Services,45.37,6081,51.3888
CZNC,Financial Services,18.74,15846,19.1928
CZR,Consumer Cyclical,41.63,1971558,43.0998
CZWI,Financial Services,12.3,43686,11.9104
DADA,Consumer Cyclical,2.39,894221,2.0425
DAIO,Technology,3.5,21295,3.2712
DAKT,Technology,9.55,445643,8.1964
DALI,-1,-1,17851,22.76814
DALN,Communication Services,3.85,10400,4.12022
DAPP,-1,-1,1623508,9.1368
DARE,Healthcare,0.475,217606,0.40358
DASH,Communication Services,136.76,2532152,117.5896
DATS,Technology,1.41,260806,1.4942
DATSW,Technology,0.04,5194,0.06754
DAVE,Technology,36.99,158584,22.5749
DAVEW,Technology,0.0699,22256,-1
DAWN,Healthcare,15.06,953570,14.9442
DAX,-1,-1,8560,31.20676
DBGI,Consumer Cyclical,3.58,44166,3.42218
DBGIW,Consumer Cyclical,8.1801,1,-1
DBVT,Healthcare,0.8,27274,0.85392
DBX,Technology,24.4,3393612,28.3522
DCBO,Technology,51.43,64864,48.0462
DCFC,Industrials,0.0681,3251314,0.12218
DCFCW,Industrials,0.033,308488,-1
DCGO,Healthcare,3.95,456354,3.6284
DCOM,Financial Services,19.35,286051,20.8154
