Ticker,Sector,Price,Volume,Fifty Day Average
AGNCO,Real Estate,24.81,42763,24.33174
AGNCP,Real Estate,23.76,56944,23.23378
AGNG,-1,-1,4454,29.07188
AGRI,Consumer Defensive,0.1605,1530813,0.2503
AGRIW,Consumer Defensive,0.0077,2839,-1
AGRX,Healthcare,0.561,344832,1.16308
AGYS,Technology,81.19,201292,81.0234
AGZD,-1,-1,34529,22.0042
AHCO,Healthcare,11.08,1181692,8.2968
AHG,Healthcare,1.2,12342,1.42576
AHI,Technology,1.5,-1,1.56954
AIA,-1,-1,98058,56.9728
AIB,Financial Services,11.55,1,11.61744
AIBBR,-1,0.1188,1,-1
AIBBU,Financial Services,11.5,-1,11.527
AIH,Healthcare,0.36,21780,0.50336
AIHS,Financial Services,1.0001,32713,0.7307
AIMAU,Financial Services,11.3,-1,11.13668
AIMAW,Financial Services,0.0133,35100,-1
AIMBU,Financial Services,11.11,22,11.0586
AIMD,Healthcare,1.27,172599,1.17156
AIMDW,Healthcare,0.079,2516,-1
AIP,Technology,7.29,229645,6.4444
AIQ,-1,-1,839873,32.4899
AIRE,Real Estate,1.25,334971,1.3974
AIRG,Technology,5.27,86301,4.1678
AIRJ,Industrials,11.5,4077,11.5
AIRJW,Industrials,0.65,127546,-1
AIRL,-1,-1,229,25.36524
AIRR,-1,-1,168458,59.4553
AIRS,Healthcare,5.98,23791,6.8329
AIRT,Industrials,22.8,4779,16.9372
AIRTP,Industrials,17.0,132,17.90994
AISP,Technology,8.67,2379063,3.30048
AISPW,Technology,0.76,353067,-1
AITR,Financial Services,10.3,11635,10.23506
AITRR,-1,0.18,8053,-1
AITRU,Financial Services,10.42,5738,10.3934
AIXI,Technology,1.83,70690,1.9583
AKAM,Technology,109.145,1121378,115.9742
AKAN,Healthcare,0.209,485196,0.31072
AKBA,Healthcare,2.04,6497237,1.5564
AKLI,Healthcare,0.2919,251687,0.29794
AKRO,Healthcare,25.94,994287,24.0051
AKTS,Technology,0.6135,460546,0.64292
AKTX,Healthcare,1.83,29038,2.43416
AKYA,Healthcare,4.99,181583,5.2976
ALAB,Technology,64.15,11391970,62.03
ALAR,Technology,22.16,297469,13.7926
ALBT,Real Estate,0.31,43295,0.3986
ALCE,Utilities,0.4705,162154,0.7535
ALCO,Consumer Defensive,29.48,20319,28.4048
ALCY,Financial Services,10.575,16930,10.54042
ALCYU,Financial Services,10.6362,4,10.58072
ALCYW,-1,-1,1,-1
ALDX,Healthcare,2.91,300189,3.3179
ALEC,Healthcare,6.23,374430,6.4682
ALGM,Technology,27.73,1327520,29.2348
ALGN,Healthcare,321.27,454803,292.7148
ALGS,Healthcare,0.95,299061,0.7817
ALGT,Industrials,72.005,365462,75.7566
ALHC,Healthcare,4.85,684219,6.4014
ALIM,Healthcare,4.02,67710,3.7752
ALKS,Healthcare,26.97,1957946,28.5138
ALKT,Technology,24.47,230833,24.7142
ALLK,Healthcare,1.29,459336,1.4602
ALLO,Healthcare,4.38,2435758,4.2414
ALLR,Healthcare,0.3431,40918,0.42084
ALLT,Technology,2.21,18293,1.9006
ALNT,Technology,33.55,47088,29.4598
ALNY,Healthcare,146.62,593836,166.2132
ALOT,Technology,17.85,22437,17.4514
ALPN,Healthcare,41.6,971569,29.4658
ALPP,Industrials,0.692,20895,0.69042
ALRM,Technology,73.57,194769,67.9014
ALRN,Healthcare,5.67,25016,4.7824
ALRS,Financial Services,21.98,32478,22.0048
ALSA,Financial Services,11.3,4034,11.2454
ALSAR,-1,0.0938,1665,-1
ALSAU,Financial Services,11.53,-1,11.4566
ALSAW,Financial Services,0.0101,40200,-1
ALT,Healthcare,9.11,2702499,10.2254
ALTI,Financial Services,5.98,111735,6.1126
ALTO,Basic Materials,1.94,433994,2.0644
ALTR,Technology,86.8,528198,85.4875
ALTY,-1,-1,7343,11.3106
ALVO,Healthcare,15.07,136809,15.0431
ALVOW,Healthcare,4.3,1825,-1
ALVR,Healthcare,0.7709,386064,0.70786
ALXO,Healthcare,12.51,580625,14.3626
ALZN,Healthcare,1.05,21598,0.94374
AMAL,Financial Services,23.93,116291,24.54
AMAT,Technology,210.8,6142896,183.7026
AMBA,Technology,50.47,358378,54.7944
AMCX,Communication Services,12.37,529662,15.1758
AMD,Technology,178.68,74478235,177.8774
AMDL,-1,-1,96015,23.318933
AMDS,-1,-1,98577,12.474424
AMED,Healthcare,92.15,347089,93.821
AMGN,Healthcare,276.95,2488325,292.9528
AMID,-1,-1,22515,31.64148
AMIX,Healthcare,3.24,26793,4.1097836
AMKR,Technology,31.67,1032853,31.7688
AMLI,Basic Materials,0.6926,353503,0.84174
AMLX,Healthcare,2.87,1915419,13.9936
AMNB,Financial Services,47.39,16221,45.8468
AMPG,Technology,1.87,12694,1.9721
AMPGW,Technology,0.14,100,0.13812
AMPH,Healthcare,44.53,296210,51.5798
AMPL,Technology,11.51,303813,12.434
AMRK,Financial Services,28.75,170723,27.1926
AMRN,Healthcare,0.8615,998605,1.1096
AMRX,Healthcare,6.29,991116,5.5602
AMSC,Industrials,13.11,449367,12.4402
AMSF,Financial Services,50.44,149791,49.901
AMST,Technology,2.28,20295,2.3382
AMSWA,Technology,11.52,245612,11.2378
AMTX,Energy,5.1,24489859,3.4872
AMWD,Consumer Cyclical,102.31,189450,93.8654
AMZD,-1,-1,20824,15.83794
AMZN,Consumer Cyclical,178.15,32354297,167.3978
AMZU,-1,-1,145401,31.0382
AMZZ,-1,-1,3528,26.02
ANAB,Healthcare,24.45,350101,24.064
ANDE,Consumer Defensive,56.4,149128,53.2544
ANEB,Healthcare,2.4,934,2.58816
ANGH,Communication Services,1.81,2939806,1.017
ANGHW,Communication Services,0.08,17972,-1
ANGI,Communication Services,2.77,890988,2.558
ANGL,-1,-1,1641874,28.8362
ANGO,Healthcare,5.52,249849,5.8634
ANIK,Healthcare,25.39,70511,24.234
ANIP,Healthcare,69.32,168901,59.6496
ANIX,Healthcare,3.69,107414,4.0684
ANL,Healthcare,9.1,1766,8.45094
ANNX,Healthcare,6.09,1477494,5.0351
ANSC,Financial Services,10.17,14168,10.13428
ANSCU,Financial Services,10.2106,5,10.21082
ANSCW,Financial Services,0.18,2000,-1
ANSS,Technology,348.2,347434,336.5064
ANTE,Communication Services,1.145,19167,0.9362
ANTX,Healthcare,3.31,491881,10.9574
ANY,Technology,1.4,666267,2.0168
AOGO,Financial Services,10.8,10903,10.8037
AOGOU,Financial Services,10.81,-1,10.79696
AOGOW,Financial Services,0.0196,878,-1
AONC,Healthcare,6.15,15877,5.72528
AONCW,Healthcare,0.2782,24997,-1
AOSL,Technology,22.22,192723,24.183
AOTG,-1,-1,1287,36.47006
AOUT,Consumer Cyclical,8.95,16137,8.6364
APA,Energy,33.91,4360906,31.1084
APAC,Financial Services,6.06,60341,9.92988
APACU,Financial Services,9.87,81,11.598
APACW,Financial Services,0.029,4222,-1
APCX,Technology,1.41,185111,1.7489
APCXW,Technology,0.55,238,-1
APDN,Healthcare,0.5,108903,0.5788
APEI,Consumer Defensive,13.94,98483,11.6058
APGE,Healthcare,66.54,480594,42.4308
API,Technology,2.51,91424,2.7286
APLD,Financial Services,4.55,2946904,4.9114
APLM,Healthcare,0.5999,65024,0.7531
APLMW,-1,-1,9350,0.028112
APLS,Healthcare,56.61,1158884,64.6938
APLT,Healthcare,6.825,855911,4.3534
APM,Healthcare,8.08,265836,2.89036
APOG,Industrials,60.26,119462,55.0734
APP,Technology,71.91,3398001,52.2479
APPF,Technology,233.74,161600,217.6786
APPN,Technology,39.06,1389656,34.2424
APPS,Technology,2.78,2357416,4.2166
APRE,Healthcare,6.35,51517,6.3309
APTO,Healthcare,1.57,41104,1.9104
APVO,Healthcare,4.48,152771,6.40172
APWC,Industrials,1.33,1393,1.3572
APXI,Financial Services,11.4,230,11.32026
APXIU,Financial Services,10.86,-1,11.1192
APXIW,Financial Services,0.0352,1450,-1
APYX,Healthcare,1.32,1239412,2.1759
AQB,Consumer Defensive,2.09,18210,2.33864
AQMS,Industrials,0.482,280082,0.55338
AQST,Healthcare,4.38,3077863,3.3298
AQU,Financial Services,10.83,99,10.8251
AQUNR,-1,0.1746,25,-1
AQUNU,Financial Services,11.1001,-1,10.89
AQWA,-1,-1,4461,16.4192
ARAY,Healthcare,2.54,433255,2.6928
ARBB,Technology,1.32,16912,1.47968
ARBE,Technology,2.5,707674,1.86228
ARBEW,Technology,0.2001,22996,-1
ARBK,Financial Services,1.63,477328,2.1099
ARBKL,-1,-1,17207,9.44108
ARCB,Industrials,138.16,425154,131.4702
ARCC,Financial Services,20.05,3401274,20.2542
ARCT,Healthcare,33.13,311456,36.0236
ARDX,Healthcare,7.83,5499084,8.8764
AREB,Consumer Cyclical,0.3,122938,0.27602
AREBW,-1,-1,37704,-1
AREC,Basic Materials,1.53,263058,1.474
ARGX,Healthcare,396.88,739471,385.6493
ARHS,Consumer Cyclical,15.47,1794030,12.7768
ARKO,Consumer Cyclical,5.95,368352,7.3947
ARKOW,Consumer Cyclical,0.55,3592,-1
ARKR,Consumer Cyclical,14.05,1453,14.3592
ARLP,Energy,19.99,237703,20.3158
ARM,Technology,133.6,7502660,106.6976
AROW,Financial Services,24.95,37141,24.8792
ARQ,Industrials,5.95,301631,3.5076
ARQQ,Technology,0.753,628309,0.58748
ARQQW,Technology,0.2,38,0.37
ARQT,Healthcare,10.18,3631305,7.5659
ARRW,Financial Services,9.5,2310,10.55158
ARRWU,Financial Services,10.45,3761,10.9352
ARRWW,Financial Services,0.14,9400,-1
ARRY,Technology,14.03,9399316,13.5423
ARTL,Healthcare,1.5,23256,1.48086
ARTLW,Healthcare,0.03,14832,-1
ARTNA,Utilities,35.71,36028,36.229
ARTW,Industrials,2.09,12075,2.05
ARVN,Healthcare,43.35,482718,44.2008
ARVR,-1,-1,39,35.0968
ARWR,Healthcare,28.23,1049410,32.207
ARYD,Financial Services,11.24,44767,11.13492
ASCA,Financial Services,8.4,7368,10.9446
ASCAR,-1,0.2,9000,-1
ASCAU,Financial Services,10.75,322,10.9892
ASCAW,Financial Services,0.04,134550,-1
ASCB,Financial Services,11.16,55378,11.067
ASCBR,-1,0.0674,30,-1
ASCBU,Financial Services,10.84,-1,10.84
ASCBW,Financial Services,0.0139,4000,-1
ASET,-1,-1,4361,29.9877
ASLE,Industrials,7.73,412199,9.1743
ASLN,Healthcare,0.6951,385135,0.63314
ASMB,Healthcare,12.2,21777,11.6756
ASML,Technology,990.79,1099264,893.9568
ASND,Healthcare,146.19,322371,143.5603
ASNS,Technology,1.035,5814,1.133
ASO,Consumer Cyclical,64.43,8563720,67.8609
ASPI,Basic Materials,4.81,791608,3.0546
ASPS,Real Estate,2.46,100582,2.819
ASRT,Healthcare,1.05,592074,0.886
ASRV,Financial Services,2.72,13537,2.869
ASST,Communication Services,0.645,26899934,0.51248
ASTC,Industrials,8.08,1646,7.8332
ASTE,Industrials,42.22,81283,36.8742
ASTH,Healthcare,40.92,136297,38.9548
ASTI,Technology,0.415,864185,0.60084
ASTL,Basic Materials,8.02,297113,8.3602
ASTLW,Basic Materials,1.22,10092,-1
ASTR,Industrials,0.649,506971,1.54034
ASTS,Technology,2.78,4275083,3.2648
ASTSW,Technology,0.6599,27159,-1
ASUR,Technology,8.38,162034,9.1206
ASYS,Technology,5.255,58421,4.4408
ATAI,Healthcare,1.67,1077776,1.8645
ATAT,Consumer Cyclical,19.09,554151,18.4278
ATCOL,-1,24.5746,681,24.1869
ATEC,Healthcare,13.73,1341785,15.0262
ATER,Consumer Cyclical,0.2716,1162147,0.371876
ATEX,Communication Services,34.37,49953,33.692
ATGL,Technology,3.51,15719,9.0207
ATHA,Healthcare,2.52,380008,3.258
ATHE,Healthcare,1.77,33396,1.9024
ATIF,Financial Services,1.04,1462,0.95258
ATLC,Financial Services,31.13,20029,33.2188
ATLCL,-1,-1,7434,23.41856
ATLCP,Financial Services,24.01,11683,22.55934
ATLCZ,-1,-1,13875,25.076115
ATLO,Financial Services,20.83,12181,19.4244
ATLX,Basic Materials,14.49,142940,19.3317
ATMC,Financial Services,10.92,14997,10.83982
ATMCR,-1,0.1052,2100,-1
ATMCU,Financial Services,11.126,29,10.94816
ATMCW,Financial Services,0.0185,2945,-1
ATMV,Financial Services,10.91,40311,10.8144
ATMVR,-1,0.0871,12704,-1
ATMVU,Financial Services,10.94,400,10.85662
ATNF,Healthcare,3.48,58422,3.8283
ATNFW,Healthcare,0.0086,93439,-1
ATNI,Communication Services,31.71,57768,35.0014
ATOM,Technology,6.48,161492,7.0015
ATOS,Healthcare,1.68,2539268,0.9998
ATPC,Consumer Defensive,0.3819,55258,0.43982
ATRA,Healthcare,0.669,1678521,0.73738
ATRC,Healthcare,29.73,578881,33.946
ATRI,Healthcare,442.88,16679,366.0682
ATRO,Industrials,18.99,131761,17.9028
ATSG,Industrials,13.165,536135,14.3342
ATXG,Industrials,0.93,62242,1.10902
ATXI,Healthcare,0.1583,266668,0.15318
ATXS,Healthcare,15.99,1335423,12.6975
